Rank,Team,Gold,Silver,Bronze,S Tier,Earnings
1,Sentinels,12,3,1,1,"$561,500"
2,Acend,5,1,1,1,"$498,859"
3,Gambit Esports,8,3,0,1,"$495,638"
4,Team Liquid,4,2,2,0,"$295,374"
5,G2 Esports,7,2,1,0,"$257,925"
6,Team Envy,2,2,2,0,"$251,500"
7,100 Thieves,2,3,2,0,"$225,000"
8,Vision Strikers,17,0,0,0,"$224,149"
9,Fnatic,1,2,2,0,"$210,888"
10,KRÜ Esports,7,3,1,0,"$191,000"
11,Cloud9,6,5,5,0,"$186,800"
12,FunPlus Phoenix,4,2,0,0,"$165,972"
13,ZETA DIVISION,9,3,1,0,"$146,786"
14,NUTURN Gaming,2,1,1,0,"$128,793"
15,TSM,9,2,0,0,"$126,250"
16,X10 CRIT,9,1,1,0,"$116,307"
17,Team Vikings,3,0,0,0,"$108,747"
18,XSET,3,2,1,0,"$108,250"
19,Velocity Gaming,19,8,4,0,"$106,479"
20,FaZe Clan,2,3,0,0,"$103,250"
21,Crazy Raccoon,3,3,0,0,"$102,100"
22,Team Heretics,6,1,0,0,"$97,745"
23,Version1,2,1,0,0,"$96,375"
24,Paper Rex,10,5,1,0,"$91,522"
25,Gen.G Esports,4,4,2,0,"$86,500"
26,BBL Esports,3,1,0,0,"$82,983"
27,Futbolist,5,1,3,0,"$81,687"
28,forZe,10,3,2,0,"$79,376"
29,Global Esports,18,7,2,0,"$76,498"
30,FURIA Esports,1,1,2,0,"$73,968"
31,Guild Esports,0,4,1,0,"$73,897"
32,Luminosity Gaming,2,2,4,0,"$73,750"
33,Anubis Gaming,11,3,0,0,"$72,615"
34,Ninjas in Pyjamas,4,2,2,0,"$72,097"
35,Gamelanders Blue,8,3,0,0,"$71,199"
36,FULL SENSE,7,3,1,0,"$68,526"
37,Bren Esports,13,2,0,0,"$63,308"
38,BOOM Esports,9,6,2,0,"$62,092"
39,Cloud9 White,4,0,0,0,"$61,500"
40,NRG,1,3,1,0,"$60,375"
41,Immortals,1,2,5,0,"$58,500"
42,Keyd Stars,4,2,1,0,"$55,989"
43,The Guard,2,0,0,0,"$54,250"
44,TNL Esports,1,1,0,0,"$52,735"
45,Oxygen Esports,1,6,1,0,"$51,597"
46,Australs,6,4,0,0,"$50,561"
47,SuperMassive Blaze,1,1,0,0,"$47,731"
48,Shopify Rebellion,4,2,2,0,"$46,400"
49,E-Xolos LAZER,5,5,3,0,"$45,517"
50,Liberty,2,2,0,0,"$44,321"
51,Rise,3,2,1,0,"$43,400"
52,Giants,6,4,1,0,"$42,976"
53,Team RA'AD,7,5,3,0,"$42,953"
54,DAMWON Gaming,0,1,1,0,"$42,826"
55,Team Secret,0,1,0,0,"$42,745"
56,Alter Ego,7,5,4,0,"$42,237"
57,Enigma Gaming,5,7,7,0,"$41,648"
58,Sharks Esports,0,1,0,0,"$40,003"
59,One Breath Gaming,8,5,0,0,"$38,131"
60,fish123,7,2,0,0,"$37,789"
61,Gamelanders Purple,14,2,1,0,"$36,997"
62,Team Singularity,1,3,1,0,"$36,700"
63,Infinity,11,4,2,0,"$35,918"
64,ORDER,6,3,0,0,"$35,831"
65,Dignitas Female,3,2,2,0,"$35,800"
66,Counter Logic Gaming Red,3,3,2,0,"$35,100"
67,CERBERUS Esports,3,2,3,0,"$34,930"
68,F4Q,0,1,0,0,"$34,545"
69,BIG,19,3,1,0,"$34,360"
70,TENSTAR Nova,5,2,1,0,"$33,640"
71,NYFU,4,2,2,0,"$33,425"
72,OpTic Gaming,0,1,0,0,"$32,000"
73,G2 Gozen,2,0,1,0,"$31,956"
74,ahq e-Sports Club,6,1,0,0,"$31,426"
75,TSM X,3,8,0,0,"$31,150"
76,Renegades,7,5,1,0,"$31,094"
77,Team SMG,5,6,3,0,"$30,832"
78,Attack All Around,11,4,2,0,"$29,986"
79,GMT Esports,7,3,2,0,"$29,889"
80,T1,0,1,1,0,"$29,750"
81,Team Exploit,4,0,2,0,"$29,381"
82,NASR Esports,6,0,1,0,"$29,300"
83,XERXIA,2,1,0,0,"$28,884"
84,Alliance,1,1,1,0,"$28,370"
85,Knights,1,6,0,0,"$28,250"
86,Piercer Esports,7,5,1,0,"$27,479"
87,South Built Esports,3,1,1,0,"$27,373"
88,SUMN FC,2,3,0,0,"$27,347"
89,Wave Esports,10,7,3,0,"$26,328"
90,CrowCrowd,0,1,1,0,"$25,514"
91,MAJKL,1,0,0,0,"$25,000"
92,DRX,1,0,0,0,"$24,681"
93,Team Vitality,2,0,2,0,"$24,158"
94,DfuseTeam,3,0,0,0,"$24,063"
95,Guild X,0,3,1,0,"$23,941"
96,Bleed eSports,1,2,1,0,"$23,611"
97,Made in Thailand,3,4,1,0,"$23,237"
98,Fox Gaming,9,1,0,0,"$23,180"
99,Complexity Gaming,3,5,0,0,"$23,125"
100,LDN UTD,3,1,0,0,"$22,864"
101,TENSTAR,1,3,0,0,"$22,676"
102,Team Big BAAM,8,0,1,0,"$21,917"
103,LDM Esports,3,4,1,0,"$21,850"
104,B4 Angels,5,7,1,0,"$21,845"
105,Oxxgen Esports,3,1,1,0,"$21,523"
106,Leviatán,2,2,0,0,"$21,500"
107,9z Team,4,5,5,0,"$21,330"
108,Team BDS,1,1,0,0,"$21,099"
109,LOUD,1,0,0,0,"$21,094"
110,Team nxl,3,2,1,0,"$20,977"
111,Mamba Mode Gaming,15,6,2,0,"$20,755"
112,World Game Star,1,0,0,0,"$20,659"
113,Alter Ego Celestè,11,0,1,0,"$19,977"
114,Estral Esports,7,1,0,0,"$19,750"
115,CBT Gaming,4,1,5,0,"$19,533"
116,paiN Gaming,0,2,0,0,"$19,207"
117,Natus Vincere,1,3,1,0,"$18,982"
118,T1 Korea,0,2,0,0,"$18,897"
119,Fire Flux Esports,2,1,0,0,"$18,300"
120,SCARZ,2,2,0,0,"$18,070"
121,Cloud9 Korea,1,1,0,0,"$17,651"
122,Sharper Esport,3,10,0,0,"$17,544"
123,Six Karma,1,3,2,0,"$17,511"
124,Totoro Gaming,8,7,3,0,"$16,837"
125,Pioneers,1,2,0,0,"$16,750"
126,Liberty Female,3,6,1,0,"$16,748"
127,Prince,0,0,0,0,"$16,714"
128,YaLLa Esports,7,3,0,0,"$16,550"
129,China Nguyen,9,4,1,0,"$16,500"
130,Movistar Riders,2,4,2,0,"$16,487"
131,Opportunists,7,1,0,0,"$16,461"
132,On Sla2ers,0,1,0,0,"$16,386"
133,Team XO,1,6,2,0,"$16,300"
134,UCAM Esports Club,2,3,2,0,"$16,250"
135,need more DM,5,1,2,0,"$16,162"
136,Akrew,5,0,0,0,"$16,125"
137,Built By Gamers,2,3,0,0,"$16,075"
138,nolpenki,5,3,0,0,"$16,059"
139,BlackBird Ignis,2,1,1,0,"$16,005"
140,Action PH,1,3,2,0,"$15,948"
141,Rare Esports,0,0,0,0,"$15,708"
142,Fancy United Esports,5,2,1,0,"$15,613"
143,EZ5,7,2,2,0,"$15,500"
144,Ballista Esports,0,0,1,0,"$15,455"
145,REJECT,1,2,3,0,"$15,453"
146,EXO Clan,3,2,0,0,"$15,409"
147,HEET,5,1,0,0,"$15,305"
148,Royal Never Give Up,10,9,3,0,"$14,959"
149,INGAMING Esports,3,3,0,0,"$14,840"
150,Evil Geniuses,0,1,0,0,"$14,500"
151,Team Majesty,4,2,3,0,"$14,366"
152,ownage,6,7,2,0,"$14,332"
153,OtherSide Esports,0,1,2,0,"$14,108"
154,Susquehanna Soniqs,3,5,0,0,"$14,000"
155,University of Houston Premiere,2,4,1,0,"$13,900"
156,FAV gaming,1,2,1,0,"$13,884"
157,Tales of Eastern,2,2,1,0,"$13,519"
158,Cyber Skull Esports,0,0,0,0,"$13,247"
159,IVY,4,3,2,0,"$13,231"
160,Border Monsters,5,1,0,0,"$13,100"
160,Pretty Boyz,4,3,0,0,"$13,100"
162,Kingsmen,1,5,4,0,"$13,060"
163,Big Frames,8,5,0,0,"$13,050"
164,StartedFromCS,1,2,2,0,"$12,647"
165,Elysium,13,6,1,0,"$12,625"
166,iPon Esport,15,11,2,0,"$12,358"
167,Mindfreak,1,5,0,0,"$11,832"
168,VALORANDO,8,3,0,0,"$11,826"
169,Ghost Gaming,2,2,0,0,"$11,600"
170,Bottom Fraggers,6,5,0,0,"$11,564"
171,Wygers Argentina,1,2,0,0,"$11,500"
172,SLICK,0,0,0,0,"$11,383"
173,HypHypHyp,5,1,1,0,"$11,312"
174,Phoenix1,4,4,0,0,"$11,200"
175,Anonymo Esports,2,3,1,0,"$11,134"
176,aNg DarkHorse,0,2,0,0,"$10,868"
177,Raise Your Edge Gaming,0,0,0,0,"$10,430"
178,mouseSpaz,6,1,2,0,"$10,300"
179,Imperial Esports,0,2,0,0,"$10,048"
180,Rix.GG Lightning,1,1,0,0,"$10,020"
181,FUSION,0,1,0,0,"$10,000"
181,Way 2 French,6,2,1,0,"$10,000"
183,For The Win Esports,6,1,0,0,"$9,969"
184,SoaR,2,2,1,0,"$9,900"
185,Lag Gaming,2,1,1,0,"$9,896"
186,Wildcard Gaming,1,1,1,0,"$9,814"
187,F1 x LS Esports,2,2,2,0,"$9,734"
188,Bonk,0,4,0,0,"$9,725"
189,Todak,3,1,2,0,"$9,707"
190,Samurai Esports,3,4,2,0,"$9,704"
191,THOSE GUYS,6,1,0,0,"$9,573"
